winner, total_number_of_turns, win_direction, depth, average_turn_timenegamax,13,vertical,4,1.5174569402422224
random,24,horizontal,4,3.007048805554708
negamax,14,vertical,4,2.94661283493042
random,9,horizontal,4,2.62543261051178
negamax,9,vertical,4,3.533877432346344
random,19,lrd,4,2.3227964772118463
random,7,horizontal,4,1.6780376434326172
random,19,horizontal,4,3.6521618366241455
negamax,10,vertical,4,2.57492356300354
random,9,horizontal,4,3.3590518832206726
random,27,horizontal,4,2.9121766640589786
negamax,20,lru,4,2.0128626823425293
random,16,lrd,4,4.144274026155472
negamax,16,vertical,4,2.4352249205112457
random,8,horizontal,4,1.42945796251297
